caseId,caseName,majVotes,minVotes,justice,justiceName,vote
2010-017,"JAMES WALKER, WARDEN, et al., PETITIONERS v. CHARLES W. MARTIN",9,0,111,JGRoberts,1
2010-017,"JAMES WALKER, WARDEN, et al., PETITIONERS v. CHARLES W. MARTIN",9,0,105,AScalia,1
2010-017,"JAMES WALKER, WARDEN, et al., PETITIONERS v. CHARLES W. MARTIN",9,0,106,AMKennedy,1
2010-017,"JAMES WALKER, WARDEN, et al., PETITIONERS v. CHARLES W. MARTIN",9,0,108,CThomas,1
2010-017,"JAMES WALKER, WARDEN, et al., PETITIONERS v. CHARLES W. MARTIN",9,0,109,RBGinsburg,1
2010-017,"JAMES WALKER, WARDEN, et al., PETITIONERS v. CHARLES W. MARTIN",9,0,110,SGBreyer,1
2010-017,"JAMES WALKER, WARDEN, et al., PETITIONERS v. CHARLES W. MARTIN",9,0,112,SAAlito,1
2010-017,"JAMES WALKER, WARDEN, et al., PETITIONERS v. CHARLES W. MARTIN",9,0,113,SSotomayor,1
2010-017,"JAMES WALKER, WARDEN, et al., PETITIONERS v. CHARLES W. MARTIN",9,0,114,EKagan,1
2010-018,"DELBERT WILLIAMSON, et al., PETITIONERS v. MAZDA MOTOR OF AMERICA, INC., et al.",8,0,111,JGRoberts,1
2010-018,"DELBERT WILLIAMSON, et al., PETITIONERS v. MAZDA MOTOR OF AMERICA, INC., et al.",8,0,105,AScalia,1
2010-018,"DELBERT WILLIAMSON, et al., PETITIONERS v. MAZDA MOTOR OF AMERICA, INC., et al.",8,0,106,AMKennedy,1
2010-018,"DELBERT WILLIAMSON, et al., PETITIONERS v. MAZDA MOTOR OF AMERICA, INC., et al.",8,0,108,CThomas,4
2010-018,"DELBERT WILLIAMSON, et al., PETITIONERS v. MAZDA MOTOR OF AMERICA, INC., et al.",8,0,109,RBGinsburg,1
2010-018,"DELBERT WILLIAMSON, et al., PETITIONERS v. MAZDA MOTOR OF AMERICA, INC., et al.",8,0,110,SGBreyer,1
2010-018,"DELBERT WILLIAMSON, et al., PETITIONERS v. MAZDA MOTOR OF AMERICA, INC., et al.",8,0,112,SAAlito,1
2010-018,"DELBERT WILLIAMSON, et al., PETITIONERS v. MAZDA MOTOR OF AMERICA, INC., et al.",8,0,113,SSotomayor,3
2010-018,"DELBERT WILLIAMSON, et al., PETITIONERS v. MAZDA MOTOR OF AMERICA, INC., et al.",8,0,114,EKagan,
2010-019,"MICHIGAN, PETITIONER v. RICHARD PERRY BRYANT",6,2,111,JGRoberts,1
2010-019,"MICHIGAN, PETITIONER v. RICHARD PERRY BRYANT",6,2,105,AScalia,2
2010-019,"MICHIGAN, PETITIONER v. RICHARD PERRY BRYANT",6,2,106,AMKennedy,1
2010-019,"MICHIGAN, PETITIONER v. RICHARD PERRY BRYANT",6,2,108,CThomas,3
2010-019,"MICHIGAN, PETITIONER v. RICHARD PERRY BRYANT",6,2,109,RBGinsburg,2
2010-019,"MICHIGAN, PETITIONER v. RICHARD PERRY BRYANT",6,2,110,SGBreyer,1
2010-019,"MICHIGAN, PETITIONER v. RICHARD PERRY BRYANT",6,2,112,SAAlito,1
2010-019,"MICHIGAN, PETITIONER v. RICHARD PERRY BRYANT",6,2,113,SSotomayor,1
2010-019,"MICHIGAN, PETITIONER v. RICHARD PERRY BRYANT",6,2,114,EKagan,
2010-020,"FEDERAL COMMUNICATIONS COMMISSION, et al., PETITIONERS v. AT&T INC. et al.",8,0,111,JGRoberts,1
2010-020,"FEDERAL COMMUNICATIONS COMMISSION, et al., PETITIONERS v. AT&T INC. et al.",8,0,105,AScalia,1
2010-020,"FEDERAL COMMUNICATIONS COMMISSION, et al., PETITIONERS v. AT&T INC. et al.",8,0,106,AMKennedy,1
2010-020,"FEDERAL COMMUNICATIONS COMMISSION, et al., PETITIONERS v. AT&T INC. et al.",8,0,108,CThomas,1
2010-020,"FEDERAL COMMUNICATIONS COMMISSION, et al., PETITIONERS v. AT&T INC. et al.",8,0,109,RBGinsburg,1
2010-020,"FEDERAL COMMUNICATIONS COMMISSION, et al., PETITIONERS v. AT&T INC. et al.",8,0,110,SGBreyer,1
