caseID,term,chief,caseName,majVotes,minVotes,justiceID,direction,majority
2010-008,2010,Roberts,"KELLY HARRINGTON, WARDEN, PETITIONER, v. JOSHUA RICHTER",8,0,108,1,2
2010-008,2010,Roberts,"KELLY HARRINGTON, WARDEN, PETITIONER, v. JOSHUA RICHTER",8,0,109,1,2
2010-008,2010,Roberts,"KELLY HARRINGTON, WARDEN, PETITIONER, v. JOSHUA RICHTER",8,0,110,1,2
2010-008,2010,Roberts,"KELLY HARRINGTON, WARDEN, PETITIONER, v. JOSHUA RICHTER",8,0,112,1,2
2010-008,2010,Roberts,"KELLY HARRINGTON, WARDEN, PETITIONER, v. JOSHUA RICHTER",8,0,113,1,2
2010-008,2010,Roberts,"KELLY HARRINGTON, WARDEN, PETITIONER, v. JOSHUA RICHTER",8,0,114,,
2010-009,2010,Roberts,"JEFF PREMO, SUPERINTENDENT, OREGON STATE PENITENTIARY, PETITIONER v. RANDY JOSEPH MOORE",8,0,111,1,2
2010-009,2010,Roberts,"JEFF PREMO, SUPERINTENDENT, OREGON STATE PENITENTIARY, PETITIONER v. RANDY JOSEPH MOORE",8,0,105,1,2
2010-009,2010,Roberts,"JEFF PREMO, SUPERINTENDENT, OREGON STATE PENITENTIARY, PETITIONER v. RANDY JOSEPH MOORE",8,0,106,1,2
2010-009,2010,Roberts,"JEFF PREMO, SUPERINTENDENT, OREGON STATE PENITENTIARY, PETITIONER v. RANDY JOSEPH MOORE",8,0,108,1,2
2010-009,2010,Roberts,"JEFF PREMO, SUPERINTENDENT, OREGON STATE PENITENTIARY, PETITIONER v. RANDY JOSEPH MOORE",8,0,109,1,2
2010-009,2010,Roberts,"JEFF PREMO, SUPERINTENDENT, OREGON STATE PENITENTIARY, PETITIONER v. RANDY JOSEPH MOORE",8,0,110,1,2
2010-009,2010,Roberts,"JEFF PREMO, SUPERINTENDENT, OREGON STATE PENITENTIARY, PETITIONER v. RANDY JOSEPH MOORE",8,0,112,1,2
2010-009,2010,Roberts,"JEFF PREMO, SUPERINTENDENT, OREGON STATE PENITENTIARY, PETITIONER v. RANDY JOSEPH MOORE",8,0,113,1,2
2010-009,2010,Roberts,"JEFF PREMO, SUPERINTENDENT, OREGON STATE PENITENTIARY, PETITIONER v. RANDY JOSEPH MOORE",8,0,114,,
2010-010,2010,Roberts,"NATIONAL AERONAUTICS AND SPACE ADMINISTRATION, et al., PETITIONERS v. ROBERT M. NELSON et al.",8,0,111,1,2
2010-010,2010,Roberts,"NATIONAL AERONAUTICS AND SPACE ADMINISTRATION, et al., PETITIONERS v. ROBERT M. NELSON et al.",8,0,105,1,2
2010-010,2010,Roberts,"NATIONAL AERONAUTICS AND SPACE ADMINISTRATION, et al., PETITIONERS v. ROBERT M. NELSON et al.",8,0,106,1,2
2010-010,2010,Roberts,"NATIONAL AERONAUTICS AND SPACE ADMINISTRATION, et al., PETITIONERS v. ROBERT M. NELSON et al.",8,0,108,1,2
2010-010,2010,Roberts,"NATIONAL AERONAUTICS AND SPACE ADMINISTRATION, et al., PETITIONERS v. ROBERT M. NELSON et al.",8,0,109,1,2
2010-010,2010,Roberts,"NATIONAL AERONAUTICS AND SPACE ADMINISTRATION, et al., PETITIONERS v. ROBERT M. NELSON et al.",8,0,110,1,2
2010-010,2010,Roberts,"NATIONAL AERONAUTICS AND SPACE ADMINISTRATION, et al., PETITIONERS v. ROBERT M. NELSON et al.",8,0,112,1,2
2010-010,2010,Roberts,"NATIONAL AERONAUTICS AND SPACE ADMINISTRATION, et al., PETITIONERS v. ROBERT M. NELSON et al.",8,0,113,1,2
2010-010,2010,Roberts,"NATIONAL AERONAUTICS AND SPACE ADMINISTRATION, et al., PETITIONERS v. ROBERT M. NELSON et al.",8,0,114,,
2010-011,2010,Roberts,"GARY SWARTHOUT, WARDEN, PETITIONER v. DAMON COOKE.",9,0,111,1,2
2010-011,2010,Roberts,"GARY SWARTHOUT, WARDEN, PETITIONER v. DAMON COOKE.",9,0,105,1,2
